Post_Type,Likes,Shares,Comments,Account_Type,Person_Type,Social_Platform,Location,Account_Verification,User_Activity,User_Language,User_Follower,Media_Type
Reels,1556966,63,137,Private,Food Blogger,Facebook,"San Jose, USA",Verified,3 posts per week,English,177,text
Carousel,258832,42,55,Public,Influencer,Instagram,"Los Angeles, USA",Not verified,210 post per week,English,336,video
Static Image,442599,22,70,Public,Content Creator,Twitter,"New York City, USA",Verified,4 posts per week,English,701,image
Reels,1210833,40,130,Public,Food Blogger,Goodreads,"Seattle, USA",Not verified,2 posts per week,English,9593,video
Carousel,2112298,62,129,Public,Gamer,Instagram,"Rome, Italy",Not verified,2 posts per week,English,948,text
Video,418234,46,50,Public,Travel Blogger,Spotify,"Tokyo, Japan",Not verified,3 posts per week,English,4897,text
Video,3673517,38,92,Public,User,Instagram,"Los Angeles, USA",Not verified,4 posts per week,English,222,text
Reels,1496872,68,70,Private,Brand Ambassador,Twitter,"Sydney, Australia",Verified,3 posts per week,English,4415,image
Reels,349826,43,125,Public,Brand Ambassador,Facebook,"Silicon Valley, USA",Verified,2 posts per week,English,8695,image
Static Image,700444,53,88,Private,User,Instagram,"London, UK",Not verified,210 post per day,English,8365,text
Reels,2233782,35,104,Private,Entrepreneur,Twitter,"New York City, USA",Verified,4 posts per week,English,4178,video
Carousel,589710,63,98,Public,Fitness Enthusiast,Facebook,"London, UK",Not verified,3 posts per week,English,7372,image
Video,2991949,30,68,Public,Fitness Enthusiast,Instagram,"Sydney, Australia",Not verified,4 posts per week,English,5305,text
Carousel,3350416,64,142,Private,Social Activist,Twitch,"Paris, France",Not verified,2 posts per week,English,559,text
Carousel,2847857,34,105,Public,Entrepreneur,YouTube,"Barcelona, Spain",Verified,3 posts per week,English,6575,image
Carousel,1950712,71,95,Private,Content Creator,Goodreads,"Tokyo, Japan",Not verified,2 posts per week,English,1099,video
Carousel,259561,36,137,Private,Brand Ambassador,Twitter,"Los Angeles, USA",Not verified,3 posts per week,English,4226,image
Carousel,3866989,69,66,Public,Fitness Enthusiast,Instagram,"Sydney, Australia",Not verified,2 posts per week,English,4133,video
Text,3784584,64,143,Public,User,Facebook,"London, UK",Not verified,210 post per day,English,2766,video
Reels,550994,40,135,Private,Fitness Enthusiast,Instagram,"San Francisco, USA",Not verified,623 posts per week,English,2922,image
Carousel,315802,26,129,Public,Content Creator,Twitter,"Paris, France",Not verified,624 posts per week,English,1450,video
Carousel,1262408,62,73,Private,User,Facebook,"New York City, USA",Not verified,625 posts per week,English,7342,image
Text,3773412,24,46,Public,Influencer,Instagram,"Los Angeles, USA",Not verified,210 post per day,English,7678,text
Static Image,1171503,67,115,Public,Gamer,Twitter,"Barcelona, Spain",Not verified,421 posts per week,English,6348,video
Reels,158798,51,105,Private,Fitness Enthusiast,Facebook,"Silicon Valley, USA",Verified,422 posts per week,English,2587,video
Video,3467969,35,145,Public,Content Creator,Twitter,Yosemite National Park,Verified,3 posts per week,English,401,video
Reels,1156577,58,105,Private,Travel Blogger,Instagram,"Bangkok, Thailand",Not verified,5 posts per week,English,6585,text
Reels,1590509,33,138,Public,Travel Blogger,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,1275,image
Carousel,1790549,39,131,Public,Entrepreneur,Instagram,"Los Angeles, USA",Verified,4 posts per week,English,7839,text
Reels,21670,65,145,Public,Tech Reviewer,Twitter,"Paris, France",Not verified,3 posts per week,English,3500,text
Reels,1221400,58,125,Public,Food Blogger,Spotify,"Bali, Indonesia",Not verified,2 posts per week,English,1134,text
Static Image,1859799,32,59,Public,Content Creator,Instagram,"San Francisco, USA",Not verified,211 post per day,English,9520,image
Reels,1201617,38,120,Public,Fitness Enthusiast,Instagram,"New York City, USA",Verified,2 posts per week,English,6401,text
Static Image,1629014,57,120,Private,Gamer,Twitter,"London, UK",Not verified,4 posts per week,English,2232,image
Carousel,2842347,44,111,Public,Entrepreneur,YouTube,"Paris, France",Verified,3 posts per week,English,129,video
Carousel,267671,25,142,Public,Tech Reviewer,Instagram,"New York City, USA",Not verified,2 posts per week,English,647,image
Reels,1574530,40,52,Public,Travel Blogger,Twitch,"Los Angeles, USA",Not verified,211 post per day,English,1429,text
Text,2173938,60,99,Public,Content Creator,Instagram,"San Francisco, USA",Verified,3 posts per week,English,1225,video
Reels,852452,48,89,Public,Fitness Enthusiast,Twitter,"Vancouver, Canada",Not verified,2 posts per week,English,1171,video
Static Image,1391864,26,106,Public,Brand Ambassador,Facebook,"San Jose, USA",Verified,3 posts per week,English,2365,text
Reels,2690219,70,137,Private,Gamer,Instagram,"Los Angeles, USA",Not verified,211 post per week,English,8194,image
Carousel,582345,33,67,Public,Influencer,Twitter,"New York City, USA",Verified,4 posts per week,English,5058,video
Carousel,4279366,47,63,Public,User,Goodreads,"Seattle, USA",Not verified,2 posts per week,English,7764,video
Reels,989722,22,72,Public,Travel Blogger,Instagram,"Rome, Italy",Not verified,2 posts per week,English,3650,video
Carousel,2099284,59,130,Public,Food Blogger,Spotify,"Tokyo, Japan",Not verified,3 posts per week,English,44,text
Carousel,1582860,51,81,Public,Food Blogger,Instagram,"Los Angeles, USA",Not verified,4 posts per week,English,7161,video
Video,1609150,40,124,Private,Fitness Enthusiast,Twitter,"Sydney, Australia",Verified,3 posts per week,English,8817,text
Carousel,4128487,46,141,Public,Travel Blogger,Facebook,"Silicon Valley, USA",Verified,2 posts per week,English,9676,text
Static Image,1547713,31,143,Public,Content Creator,Instagram,"London, UK",Not verified,211 post per day,English,4307,text
Reels,379414,45,79,Public,Travel Blogger,Twitter,"New York City, USA",Verified,4 posts per week,English,8491,image
Static Image,2706278,38,123,Public,Travel Blogger,Facebook,"London, UK",Not verified,3 posts per week,English,6918,text
Static Image,651146,61,68,Public,Entrepreneur,Instagram,"Sydney, Australia",Not verified,4 posts per week,English,9053,video
Reels,1340868,72,102,Private,Gamer,Twitch,"Paris, France",Not verified,2 posts per week,English,9926,text
Reels,929845,45,114,Public,Gamer,YouTube,"Barcelona, Spain",Verified,3 posts per week,English,7590,text
Video,1068923,31,85,Public,Brand Ambassador,Goodreads,"Tokyo, Japan",Not verified,2 posts per week,English,2236,image
Video,1442944,42,62,Public,Travel Blogger,Twitter,"Los Angeles, USA",Not verified,3 posts per week,English,7982,image
Carousel,584931,34,89,Public,Tech Reviewer,Instagram,"Sydney, Australia",Not verified,2 posts per week,English,1136,video
Carousel,750291,58,54,Private,Food Blogger,Facebook,"London, UK",Not verified,211 post per day,English,3326,image
Video,1038592,33,153,Public,Brand Ambassador,Instagram,"San Francisco, USA",Not verified,626 posts per week,English,3178,image
Reels,1297319,68,142,Public,Gamer,Twitter,"Paris, France",Not verified,627 posts per week,English,1554,text
Static Image,1990290,42,74,Public,User,Facebook,"New York City, USA",Not verified,628 posts per week,English,9863,text
Reels,814033,30,91,Public,Entrepreneur,Instagram,"Los Angeles, USA",Not verified,211 post per day,English,8411,video
Carousel,772795,34,85,Public,User,Twitter,"Barcelona, Spain",Not verified,423 posts per week,English,1477,text
Static Image,1208877,33,128,Public,Social Activist,Facebook,"Silicon Valley, USA",Verified,424 posts per week,English,3872,video
Static Image,1998562,59,143,Public,Fitness Enthusiast,Twitter,Yosemite National Park,Verified,3 posts per week,English,5823,image
Carousel,2684699,40,66,Public,Gamer,Instagram,"Bangkok, Thailand",Not verified,5 posts per week,English,4902,image
Reels,919186,42,66,Public,Entrepreneur,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,3755,video
Video,681359,35,89,Private,Food Blogger,Instagram,"Los Angeles, USA",Verified,4 posts per week,English,3203,text
Static Image,467500,44,132,Private,Social Activist,Twitter,"Paris, France",Not verified,3 posts per week,English,3788,video
Carousel,3082170,57,103,Public,Content Creator,Spotify,"Bali, Indonesia",Not verified,2 posts per week,English,5824,text
Static Image,3288609,42,48,Public,Fitness Enthusiast,Instagram,"San Francisco, USA",Not verified,212 post per day,English,7716,video
Video,54886,32,74,Private,Tech Reviewer,Instagram,"New York City, USA",Verified,2 posts per week,English,9505,text
Video,901756,44,132,Public,Gamer,Twitter,"London, UK",Not verified,4 posts per week,English,9625,text
Static Image,1376826,36,107,Private,Food Blogger,YouTube,"Paris, France",Verified,3 posts per week,English,9033,image
Carousel,2164348,44,110,Public,Food Blogger,Instagram,"New York City, USA",Not verified,2 posts per week,English,7634,text
Video,220309,32,93,Private,Entrepreneur,Twitch,"Los Angeles, USA",Not verified,212 post per day,English,3042,text
Static Image,2761523,53,75,Public,Gamer,Instagram,"San Francisco, USA",Verified,3 posts per week,English,1562,image
Carousel,1689437,56,104,Public,User,Twitter,"Vancouver, Canada",Not verified,2 posts per week,English,6283,text
Reels,1413565,14,55,Public,Social Activist,Facebook,"San Jose, USA",Verified,3 posts per week,English,3164,video
Reels,2272319,58,71,Public,Brand Ambassador,Instagram,"Los Angeles, USA",Not verified,212 post per week,English,5854,image
Static Image,1809413,47,60,Public,Tech Reviewer,Twitter,"New York City, USA",Verified,4 posts per week,English,4803,video
Carousel,361771,35,58,Public,Tech Reviewer,Goodreads,"Seattle, USA",Not verified,2 posts per week,English,1222,text
Static Image,1293999,65,40,Public,Content Creator,Instagram,"Rome, Italy",Not verified,2 posts per week,English,459,text
Text,877860,23,66,Public,Fitness Enthusiast,Spotify,"Tokyo, Japan",Not verified,3 posts per week,English,1534,video
Video,157422,67,112,Private,Entrepreneur,Instagram,"Los Angeles, USA",Not verified,4 posts per week,English,1167,text
Text,1884098,24,143,Private,User,Twitter,"Sydney, Australia",Verified,3 posts per week,English,8036,image
Text,1215181,61,106,Private,User,Facebook,"Silicon Valley, USA",Verified,2 posts per week,English,302,text
Carousel,2455749,38,118,Public,Influencer,Instagram,"London, UK",Not verified,212 post per day,English,572,image
Static Image,280520,42,120,Public,Gamer,Twitter,"New York City, USA",Verified,4 posts per week,English,2528,text
Reels,3206958,48,57,Private,Tech Reviewer,Facebook,"London, UK",Not verified,3 posts per week,English,6566,image
Video,919814,34,121,Public,Content Creator,Instagram,"Sydney, Australia",Not verified,4 posts per week,English,8788,text
Reels,2617252,53,119,Public,Tech Reviewer,Twitch,"Paris, France",Not verified,2 posts per week,English,2857,text
Text,3271185,57,124,Public,Gamer,YouTube,"Barcelona, Spain",Verified,3 posts per week,English,7483,text
Static Image,2585446,30,141,Public,Fitness Enthusiast,Goodreads,"Tokyo, Japan",Not verified,2 posts per week,English,4327,video
Video,3478344,46,112,Public,Influencer,Twitter,"Los Angeles, USA",Not verified,3 posts per week,English,3631,video
Carousel,1441803,34,106,Private,User,Instagram,"Sydney, Australia",Not verified,2 posts per week,English,8385,text
Carousel,1545972,25,49,Public,Food Blogger,Facebook,"London, UK",Not verified,212 post per day,English,740,video
Video,423216,38,106,Public,Fitness Enthusiast,Instagram,"San Francisco, USA",Not verified,629 posts per week,English,835,text
Carousel,4632336,58,78,Public,Entrepreneur,Twitter,"Paris, France",Not verified,630 posts per week,English,1580,image
Video,153567,63,95,Public,Social Activist,Facebook,"New York City, USA",Not verified,631 posts per week,English,8509,video
Carousel,993096,53,134,Public,Content Creator,Instagram,"Los Angeles, USA",Not verified,212 post per day,English,7068,text
Static Image,213811,66,100,Public,Brand Ambassador,Twitter,"Barcelona, Spain",Not verified,425 posts per week,English,1622,video
Reels,710317,28,127,Private,Travel Blogger,Facebook,"Silicon Valley, USA",Verified,426 posts per week,English,9400,text
Static Image,972175,58,99,Public,Entrepreneur,Twitter,Yosemite National Park,Verified,3 posts per week,English,7385,image
Static Image,1123106,18,154,Public,Influencer,Instagram,"Bangkok, Thailand",Not verified,5 posts per week,English,6784,text
Reels,3985408,40,103,Public,Travel Blogger,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,2995,text
Carousel,2801326,42,62,Public,Tech Reviewer,Instagram,"Los Angeles, USA",Verified,4 posts per week,English,680,text
Carousel,2280759,43,122,Private,Fitness Enthusiast,Twitter,"Paris, France",Not verified,3 posts per week,English,5874,video
Static Image,3059826,41,89,Public,Entrepreneur,Spotify,"Bali, Indonesia",Not verified,2 posts per week,English,3606,video
Static Image,822354,61,111,Public,Travel Blogger,Instagram,"San Francisco, USA",Not verified,213 post per day,English,4931,image
Video,307618,23,69,Public,User,Instagram,"New York City, USA",Verified,2 posts per week,English,3124,text
Static Image,76868,32,128,Public,Fitness Enthusiast,Twitter,"London, UK",Not verified,4 posts per week,English,2296,video
Reels,1495612,53,127,Public,Content Creator,YouTube,"Paris, France",Verified,3 posts per week,English,1714,image
Reels,2761244,25,107,Private,Food Blogger,Instagram,"New York City, USA",Not verified,2 posts per week,English,496,video
Carousel,3309826,48,45,Public,Gamer,Twitch,"Los Angeles, USA",Not verified,213 post per day,English,3622,text
Reels,355329,70,89,Public,Entrepreneur,Instagram,"San Francisco, USA",Verified,3 posts per week,English,8749,text
Text,2090915,46,51,Public,Entrepreneur,Twitter,"Vancouver, Canada",Not verified,2 posts per week,English,6393,image
Video,2625640,27,134,Private,Entrepreneur,Facebook,"San Jose, USA",Verified,3 posts per week,English,9105,text
Reels,4989822,67,67,Private,Travel Blogger,Instagram,"Los Angeles, USA",Not verified,213 post per week,English,7829,video
Static Image,2390613,15,30,Public,Content Creator,Twitter,"New York City, USA",Verified,4 posts per week,English,1834,video
Video,2678850,60,148,Public,Food Blogger,Goodreads,"Seattle, USA",Not verified,2 posts per week,English,1972,image
Reels,2924538,26,66,Public,Gamer,Instagram,"Rome, Italy",Not verified,2 posts per week,English,6940,image
Carousel,2178045,29,73,Public,Food Blogger,Spotify,"Tokyo, Japan",Not verified,3 posts per week,English,3337,video
Carousel,2154760,22,87,Private,Social Activist,Instagram,"Los Angeles, USA",Not verified,4 posts per week,English,3153,image
Static Image,2611027,22,65,Public,User,Twitter,"Sydney, Australia",Verified,3 posts per week,English,5119,image
Text,932966,42,111,Public,Travel Blogger,Facebook,"Silicon Valley, USA",Verified,2 posts per week,English,7755,image
